2026-03-09 17:09:17 | WARNING  | validator | Postava ID=55: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=57 (Borpocian): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | INFO     | validator | Postava ID=60 (Calypso): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | INFO     | validator | Postava ID=62 (Canklanker Thom): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=64: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=70 (Concerto): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=71: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=75: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=79: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=82: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=83: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=95: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=95: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=96: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=97: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=98: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=99: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=100: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=101: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=103: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=104: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=106: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=113: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=114: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=122 (Fart): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=125: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=126: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=126: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=130 (Galactic Federation President): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | INFO     | validator | Postava ID=133 (Garblovian): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=142: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=148: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=151: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=152: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=153: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=157: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=157: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=158: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=164: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=167: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=187: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=194: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=196 (Krombopulos Michael): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=199: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=200: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=209: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=218: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=219: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=231: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=242: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=247 (Amy Poopybutthole): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=249: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=249 (Mrs. Sanchez): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=253: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=253: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=261: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=262: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=265: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=266: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=274: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=276: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=282: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=284: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=298: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=299: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=308: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=310: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=312: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=313: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=319: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=320: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=329 (Snuffles (Snowball)): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=330: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=331: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=346: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=349 (The Scientist Formerly Known as Rick): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=350: pole 'status' obsahuje 'unknown' hodnotu
